xLokoOwneD;01/01/2011;Fundador;Biohazard (Internacional);"staff,retorno2025";FALSE
Maguinho - Compound;01/01/2011;Member;Desconhecido - Muito tempo atrás;;FALSE
Natan - Senakin;01/01/2011;Member;Desconhecido - Muito tempo atrás;;FALSE
MrFalcon;01/01/2011;Member;Desconhecido - Muito tempo atrás;;FALSE
Therock;01/01/2012;Member;Desconhecido - Muito tempo atrás;;FALSE
Hachiro;01/01/2012;Member;Desconhecido - Muito tempo atrás;;FALSE
GoRniLsOn;01/01/2012;Member;Desconhecido - Muito tempo atrás;;FALSE
Patolino - Patolindo;01/01/2012;Member;Desconhecido - Muito tempo atrás;;FALSE
ToN;01/01/2012;Member;Desconhecido - Muito tempo atrás;retorno2025;FALSE
Hiroshima;01/01/2012;Member;Desconhecido - Muito tempo atrás;;FALSE
Luffy (Anão);01/01/2012;Member;Desconhecido - Muito tempo atrás;;FALSE
Deluca (Mamador);01/01/2012;Member;Desconhecido - Muito tempo atrás;;FALSE
Vish;01/01/2012;Member;Desconhecido - Muito tempo atrás;;FALSE
xKannade;01/01/2012;Member;Desconhecido - Muito tempo atrás;retorno2025;FALSE
Heineken;01/01/2012;Member;Desconhecido - Muito tempo atrás;;FALSE
TarZ;01/01/2012;Member;OverDose BR;retorno2025;FALSE
Ayperos;01/01/2012;Member;Desconhecido - Muito tempo atrás;;FALSE
xSennins - Jonas;01/01/2012;Member;Desconhecido - Muito tempo atrás;;FALSE
Marimar;01/01/2012;Member;Desconhecido - Muito tempo atrás;;FALSE
Toby;01/01/2012;Member;Desconhecido - Muito tempo atrás;;FALSE
Buma;01/01/2012;Member;Desconhecido - Muito tempo atrás;;FALSE
MooZaik;01/01/2012;Member;Desconhecido - Muito tempo atrás;;FALSE
Don;01/01/2012;Member;Desconhecido - Muito tempo atrás;;FALSE
Urbano;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
xKrokodill;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
TheTwoHarDs;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
MaisLosT;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
JCSantos;01/01/2013;Member;Desconhecido - Muito tempo atrás;retorno2025;FALSE
Mestruada;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
Shala Barrera;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
xDownLoaD;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
TheLegend;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
RANGEL - Lotus;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
Reader;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
FlapJack;01/01/2013;Member;Desconhecido - Muito tempo atrás;"retorno2025,staff";FALSE
Loyal;01/01/2013;Member;Desconhecido - Muito tempo atrás;"retorno2025,staff";FALSE
P3DRINH0;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
NigasBR;01/01/2013;Member;Desconhecido - Muito tempo atrás;Retorno2025;FALSE
Demon;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
Erick/ PikaDaGalaxia;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
Rydan - Ricardo Walker;01/01/2013;Member;Desconhecido - Muito tempo atrás;retorno2025;FALSE
MeninaRa;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
Sephiroth;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
PutinVodka;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
TeLoveS2 - SrCarda;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
Mestruada/W1 Wallacy Motta;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
Phalanx / Lonieri;01/01/2013;Member;Desconhecido - Muito tempo atrás;retorno2025;FALSE
SPARROW;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
Rampage;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
y3spanic;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
Bijuzao;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
G5 / GFive;01/01/2013;Officer;Desconhecido - Muito tempo atrás;"staff,retorno2025";FALSE
iCrowleey;01/01/2013;Member;Desconhecido - Muito tempo atrás;retorno2025;FALSE
xSonnic;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
ShadowCaos;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
Nilo/Aban/ThebloodEdge;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
TigerOrion;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
Tilambucano;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
Garotao1;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
FreeMoe;01/01/2013;Member;Desconhecido - Muito tempo atrás;retorno2025;FALSE
Dollynthiel/SizQadasha;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
Piluka;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
ManguinhA;01/12/2012;Member;Fantasy (BR);retorno2025;FALSE
Uub;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
RuskoOwneD;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
MAJOR;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
xArtigo157x;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
MrSam;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
Vodka;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
JOK3R;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
SoulOwneD;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
Phalanx;01/01/2013;Member;Desconhecido - Muito tempo atrás;retorno2025;FALSE
xLorD;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
AnaloG;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
WoodeLee;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
ShadowZ2;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
Conquer;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
Dominus;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
Wesley | KOG;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
Euforia/ArcanjoOo;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
Hellder;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
Neon;01/01/2013;Member;Desconhecido - Muito tempo atrás;retorno2025;FALSE
Saruman;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
Snoooooow;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
iDevice;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
Saymer - Vendedor de Coco;01/01/2013;Member;Desconhecido - Muito tempo atrás;retorno2025;FALSE
NatanPB;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
Yago Rocha;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
Tuzinho;01/01/2013;Member;Desconhecido - Muito tempo atrás;retorno2025;FALSE
Shuen;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
xFlameOwneD;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
Cloud;01/01/2013;Member;Desconhecido - Muito tempo atrás;retorno2025;FALSE
BarataSensual / NesQuik;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
Dibari;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
sgN > Serginho;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
Sabo;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
ProReset;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
LuizinN - SurkizaO;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
Apollyon;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
LikeRave;01/01/2013;Member;Desconhecido - Muito tempo atrás;retorno2025;FALSE
Lancer;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
NaomiMisora;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
GreenDaaay;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
PuloDoGato - Creep;01/01/2013;Member;Desconhecido - Muito tempo atrás;;FALSE
KuDeLança;01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
Edz/Aezaky/Eddw;01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
Danzin;01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
DORFLEX;01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
BR1S4D0;01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
Archanus;01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
M0nsterKiLL;01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
IKoG;01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
xDuoKill;01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
SoldadoTM;01/01/2014;Member;Desconhecido - Muito tempo atrás;retorno2025;FALSE
Arcanjo666;01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
IceBlue;01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
CaoDeBriga;01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
DivineDangerous;01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
Theoden/AmoEla;01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
OggerMC;01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
xPoder;01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
JaponeiS;01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
CanabiSJr;01/01/2011;Member;Desconhecido - Muito tempo atrás;retorno2025;FALSE
RockOwned;01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
VaiixBR;01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
Coca;01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
A.Eduardo OpsBlock;01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
OshimitizU;01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
MiuYki / Kassadin;01/01/2014;Member;Desconhecido - Muito tempo atrás;retorno2025;FALSE
Psicotica (Descanse em paz irmão);01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
KareCa;01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
Raiderss/PromeTeu;01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
Anninhahp;01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
xTravisBarker;01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
Eragon - Gordinho da balsa;01/01/2014;Member;Desconhecido - Muito tempo atrás;retorno2025;FALSE
Sherry;01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
GSN - MarineSoldier;01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
Pepeka - Paulo;01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
Seevla;01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
Firewall;01/01/2014;Member;Desconhecido - Muito tempo atrás;retorno2025;FALSE
ßøß;01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
AKSNES;01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
PiCaPaU;01/01/2014;Member;Desconhecido - Muito tempo atrás;;FALSE
